E_q,N_q,U_q
0,0,0
142,149,1
285,299,4
427,448,-2
569,597,-2
711,747,2
854,896,2
996,1045,-2
1138,1194,1
1280,1344,4
1422,1493,4
1564,1642,8
1706,1791,2
1848,1940,1
1990,2089,0
2132,2238,2
2274,2387,-4
2416,2535,2
2558,2684,3
2699,2833,1
2841,2981,1
2982,3130,0
3124,3278,0
3265,3426,1
3407,3575,5
3548,3723,1
3689,3871,3
3830,4019,3
3971,4166,1
4112,4314,4
4253,4462,6
4394,4609,3
4534,4757,-9
4675,4904,3
4815,5051,-2
4955,5198,0
5095,5345,-1
5236,5492,2
5375,5638,4
5515,5785,2
5655,5931,-3
5794,6077,5
5934,6223,1
6073,6369,-4
6212,6515,-1
6351,6660,1
6490,6805,2
6629,6950,3
6767,7096,6
6906,7240,-2
7044,7385,13
7182,7529,5
7320,7674,9
7458,7818,5
7595,7962,2
7733,8105,5
7870,8249,8
8007,8392,1
8144,8535,5
8280,8678,4
8417,8820,1
8553,8962,6
8689,9105,6
8825,9246,-1
8961,9388,3
9096,9529,4
9231,9671,5
9366,9812,7
9501,9952,1
9636,10093,9
9770,10233,12
9905,10373,4
10039,10512,-3
10172,10652,8
10306,10791,3
10439,10930,4
10572,11068,4
10705,11207,-2
10838,11345,5
10970,11482,-2
11102,11620,4
11234,11757,-9
11365,11894,1
11496,12030,-7
11627,12166,2
11758,12302,6
11889,12438,4
12019,12573,-3
12149,12708,11
12279,12843,3
12408,12977,2
12537,13111,0
12666,13245,7
12794,13378,-1
12923,13511,8
13051,13644,2
13178,13776,4
13306,13908,-5
13433,14040,-1
13559,14171,2
13686,14302,-2
13812,14432,6
13938,14562,5
14063,14692,4
14188,14821,-1
14313,14951,1
14438,15079,-1
14562,15208,10
14686,15335,1
14809,15463,3
14933,15590,4
15055,15717,-1
15178,15843,6
15300,15969,-3
15422,16095,2
15544,16220,3
15665,16344,0
15785,16469,6
15906,16593,0
16026,16716,-7
16146,16839,0
16265,16962,0
16384,17084,2
16503,17206,-3
16621,17327,5
16739,17448,-1
16856,17569,-8
16973,17689,3
17090,17808,6
17206,17927,4
17322,18046,-4
17438,18164,4
17553,18282,-1
17667,18399,-2
17782,18516,3
17896,18632,-2
18009,18748,-8
18122,18864,-1
18235,18979,-1
18347,19093,0
18459,19207,-8
18571,19321,4
18682,19434,0
18792,19546,2
18902,19658,-1
19012,19770,0
19122,19881,-1
19230,19991,-6
19339,20101,6
19447,20211,-3
19555,20320,6
19662,20429,-10
19768,20536,-1
19875,20644,-7
19980,20751,-6
20086,20857,-3
20191,20963,4
20295,21069,1
20399,21174,-8
20503,21278,-2
20606,21382,-6
20708,21485,-7
20810,21588,3
20912,21690,4
21013,21791,6
21114,21892,-6
21214,21993,1
21314,22093,8
21413,22192,0
21512,22291,0
21610,22390,-7
21708,22487,4
21805,22584,2
21902,22681,1
21999,22777,2
22094,22872,3
22190,22967,4
22285,23062,-1
22379,23155,12
22473,23249,2
22566,23341,-10
22659,23433,-3
22751,23524,-2
22843,23615,-8
22934,23705,7
23025,23795,-4
23115,23884,-3
23205,23972,-3
23294,24060,-5
23382,24147,3
23471,24234,6
23558,24320,-7
23645,24405,2
23732,24490,-3
23818,24574,3
23903,24658,-6
23988,24740,-1
24072,24823,-6
24156,24904,3
24240,24985,0
24322,25066,0
24404,25146,-7
24486,25225,-6
24567,25303,-4
24648,25381,1
24728,25458,-6
24807,25535,0
24886,25611,2
24964,25686,5
25042,25761,3
25119,25835,-2
25196,25908,2
25272,25981,-9
25347,26053,-4
25422,26124,-7
25496,26195,6
25570,26265,-4
25643,26334,1
25716,26403,6
25788,26471,-6
25859,26538,-2
25930,26605,-4
26000,26671,-5
26070,26737,-4
26139,26801,0
26207,26866,2
26275,26929,2
26342,26992,-1
26409,27054,0
26475,27115,-5
26541,27176,-10
26605,27236,0
26670,27295,4
26733,27354,-2
26797,27412,0
26859,27469,-4
26921,27525,-1
26982,27581,6
27043,27636,-3
27103,27691,-7
27162,27745,-3
27221,27798,-4
27279,27850,-1
27337,27902,-1
27394,27953,-4
27450,28003,-2
27506,28053,-2
27561,28101,-2
27616,28150,-4
27669,28197,0
27723,28244,-4
27775,28290,-9
27827,28335,-9
27879,28380,-1
27929,28424,-6
27979,28467,-2
28029,28509,0
28078,28551,-7
28126,28592,2
28174,28632,-8
28220,28672,-5
28267,28711,-6
28312,28749,-3
28357,28786,-3
28402,28823,-8
28446,28859,-3
28489,28894,0
28531,28929,-5
28573,28963,-4
28614,28996,-9
28655,29028,-1
28694,29060,-10
28734,29091,-8
28772,29121,-6
28810,29150,-5
28847,29179,-5
28884,29207,-6
28920,29234,-7
28955,29261,-13
28990,29286,-1
29024,29311,-7
29057,29336,-7
29090,29359,0
29122,29382,-8
29153,29404,-6
29184,29425,-10
29214,29446,-6
29244,29466,-7
29272,29485,-5
29301,29503,-8
29328,29521,-8
29355,29538,3
29381,29554,-5
29406,29569,5
29431,29584,-5
29455,29598,-4
29479,29611,-7
29501,29623,-10
29524,29635,-3
29545,29646,-3
29566,29656,-2
29586,29666,0
29605,29675,-2
29624,29683,-2
29642,29690,-7
29660,29696,-6
29676,29702,3
29693,29707,-5
29708,29711,-10
29723,29715,-9
29737,29717,-1
29750,29719,-8
29763,29721,4
29775,29721,-4
29787,29721,-7
29797,29720,-1
29807,29718,-10
29817,29716,-6
29825,29712,-8
29833,29708,-4
29841,29704,-2
29848,29698,-1
29854,29692,-9
29859,29685,-8
29864,29677,-5
29868,29669,-4
29871,29659,-7
29874,29650,-3
29876,29639,3
29877,29627,-5
29878,29615,-5
29877,29602,-4
29877,29589,-4
29875,29574,-5
29873,29559,5
29871,29543,-6
29867,29527,-7
29863,29509,-7
29858,29491,-8
29853,29472,3
29847,29453,2
29840,29432,-1
29833,29411,-5
29824,29389,-6
29816,29367,-5
29806,29343,-2
29796,29319,-2
29785,29295,-4
29774,29269,-2
29762,29243,5
29749,29216,-8
29735,29188,-6
29721,29160,-2
29706,29130,-2
29691,29100,-3
29675,29070,-5
29658,29039,-1
29640,29006,2
29622,28973,-3
29603,28940,5
29583,28906,-7
29563,28871,2
29542,28835,-3
29521,28798,-2
29499,28761,3
29476,28723,0
29452,28684,-5
29428,28645,-1
29403,28605,-1
29378,28564,-7
29352,28523,-4
29325,28481,-5
29297,28438,4
29269,28394,-4
29240,28350,-10
29211,28305,-1
29181,28259,-5
29150,28212,-7
29118,28165,-5
29086,28117,6
29053,28068,1
29020,28019,-2
28986,27969,0
28951,27918,-2
28916,27867,-6
28880,27815,1
28843,27762,-3
28806,27708,-4
28768,27654,-3
28729,27599,-4
28690,27543,-3
28650,27487,-5
28609,27430,-2
28568,27372,4
28526,27314,-4
28484,27255,-10
28440,27195,-7
28396,27135,-8
28352,27074,-7
28307,27012,3
28261,26949,-9
28215,26886,-8
28168,26822,-7
28120,26758,-6
28072,26692,-5
28023,26627,-6
27973,26560,-6
27923,26493,-3
27873,26425,0
27821,26357,0
27769,26287,1
27716,26217,1
27663,26147,0
27609,26076,-3
27554,26004,-2
27499,25931,-3
27443,25858,-6
27387,25785,0
27330,25710,-2
27272,25635,2
27214,25559,-3
27155,25483,3
27096,25406,-4
27036,25328,-7
26975,25250,3
26914,25171,-3
26852,25091,-5
26789,25011,-7
26726,24931,-2
26662,24849,-3
26598,24767,-7
26533,24684,-9
26467,24601,-1
26401,24517,0
26334,24432,-2
26267,24347,-2
26199,24262,7
26131,24175,-9
26061,24088,4
25992,24001,-4
25921,23912,5
25850,23824,4
25779,23734,-6
25707,23644,-5
25634,23554,2
25561,23463,-1
25487,23371,-8
25413,23278,-4
25338,23185,-4
25263,23092,-8
25186,22998,-7
25110,22903,-8
25033,22808,-5
24955,22712,-3
24876,22616,1
24798,22519,-14
24718,22421,-2
24638,22323,-5
24557,22224,0
24476,22125,-3
24395,22025,0
24312,21925,-3
24230,21824,-3
24146,21723,4
24062,21621,2
23978,21518,-9
23893,21415,2
23807,21311,4
23721,21207,4
23635,21103,1
23548,20997,4
23460,20891,-12
23372,20785,-4
23283,20678,-2
23194,20571,9
23104,20463,6
23014,20355,7
22923,20246,-1
22832,20137,-5
22740,20027,-2
22648,19916,7
22555,19806,1
22461,19694,0
22367,19582,3
22273,19470,0
22178,19357,-4
22083,19244,-4
21987,19130,-1
21891,19016,-6
21794,18901,-6
21696,18785,-3
21598,18670,3
21500,18554,3
21401,18437,-6
21302,18320,-3
21202,18202,6
21102,18084,-1
21001,17965,-1
20900,17847,4
